"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"NR";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"TP_SIGNAL_NAME";
"1";"";"MA03-1";"MA03-1";"X2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"48";"";
"1";"";"MA03-2-";"MA03-2-";"X1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0,1u";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"045138008100858+";"045138008100858+";"045138008100858";"J2";"Memory Card Connectors MICRO SD CARD 5138 SERIES";"Memory Card Connectors MICRO SD CARD 5138 SERIES";"1.4mm";"";"AVX";"045138008100858+";"";"581-045138008100858+";"https://www.mouser.com/Search/Refine.aspx?Keyword=581-045138008100858%2B";"";"";"";"";"";"";
"1";"100";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100n";"C-EUC0402";"C0402";"C5, C6, C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"CEUORGC0402";"C0402";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-EU_R0603";"R0603";"R2, R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10u";"C-EUC0805";"C0805";"C1, C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u";"CEUORGC0402";"C0402";"C9, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2224";"2224";"2224";"J1";"Cylindrical Battery Contacts, Clips, Holders & Springs C CELL ALUM HOLDER";"Cylindrical Battery Contacts, Clips, Holders & Springs C CELL ALUM HOLDER";"20.32mm";"";"Keystone Electronics";"2224";"";"534-2224";"https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/2224?qs=l8Mz4RVwyfn6c0GV6Hw2pQ%3D%3D";"";"";"";"";"";"";
"1";"2u2";"MYLIB_SPULEL0603";"L0603";"L1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470R";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4u7";"CEUORGC0402";"C0402";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"750n";"MYLIB_SPULEL0603";"L0603";"L2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATM644";"ATMEGA644MLF";"MLF44-1SM";"D1";"8-bit Microcontroller with 64K Bytes In-System Programmable Flash";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BC847";"BC847";"SOT23";"V1";"NPN Transistor SOT23-BEC, EN-60617";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DIP_Switch";"DS04-254-2-01BK-SMT";"DS04254201BKSMT";"S1";"DIP Switches / SIP Switches DIP Switch, SPST, 2.54 pitch, flat actuator, SMT, 1 position, Black";"DIP Switches / SIP Switches DIP Switch, SPST, 2.54 pitch, flat actuator, SMT, 1 position, Black";"4.85mm";"";"CUI Devices";"DS04-254-2-01BK-SMT";"";"490-DS04254201BK-SMT";"https://www.mouser.co.uk/ProductDetail/CUI-Devices/DS04-254-2-01BK-SMT?qs=wnTfsH77Xs7VDGZ8jaePmA%3D%3D";"";"";"";"";"";"";
"1";"Reset";"TASTE10-XXWE_TASV_MICRO";"WS-TASV-MICRO";"S2";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP2";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";
"1";"TPS63001DRCT";"TPS63001DRCT";"TPS63001DRCT";"IC1";"Conv DC-DC Single-OUT Non-Inv/Step";"Conv DC-DC Single-OUT Non-Inv/Step";"1mm";"";"Texas Instruments";"TPS63001DRCT";"";"595-TPS63001DRCT";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS63001DRCT?qs=7kv20MEVUlgqNQNnGuTeFA%3D%3D";"";"";"";"";"";"";
"1";"TPS7A20185PDBVR";"TPS7A20185PDBVR";"SOT95P280X145-5N";"IC2";"LDO Voltage Regulators 300-mA, ultra-low-noise, low-IQ, low-dropout (LDO) linear regulator with high PSRR 5-SOT-23 -40 to 125";"LDO Voltage Regulators 300-mA, ultra-low-noise, low-IQ, low-dropout (LDO) linear regulator with high PSRR 5-SOT-23 -40 to 125";"1.45mm";"";"Texas Instruments";"TPS7A20185PDBVR";"";"595-TPS7A20185PDBVR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS7A20185PDBVR?qs=hd1VzrDQEGgQiYm%252BUIe6ow%3D%3D";"";"";"";"";"";"";
"1";"WIRL-POSI_2613011037000";"WIRL-POSI_2613011037000";"WIRL-POSI_2613011037000";"MOD1";"Elara-I GNSS Module -  GPS and GLONASS.";"";"5.9mm";"Würth Elektronik";"";"";"";"";"";"";"2613011037000";"";"";"";"";
"1";"bl";"LED_V_CHIPLED_0603";"CHIPLED_0603";"H1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
